Case and Offense,Case Number,Reported Date,Nature Of Call,From Date,Offense,Description,Block Address,City,State,Beat,Division,Council District,Attempt Complete,Location Type,Location Description,Location
190074108-90E,190074108,08/27/2019,PUBLIC INTOXICATION,08/27/2019 01:51:34 AM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,1200 MILLER AVE,FORT WORTH,TX,G12,,,C,18,18 PARKING LOT/GARAGE,"(32.73222535450094, -97.26202799310163)"
190073816-90E,190073816,08/26/2019,PUBLIC INTOXICATION,08/26/2019 07:12:24 AM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,1300 7TH AVE,FORT WORTH,TX,B14,Central,9,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.73062069200638, -97.34206337165458)"
190073816-35B,190073816,08/26/2019,PUBLIC INTOXICATION,08/26/2019 07:12:24 AM,35B,GC 084 Possession of Drug Paraphenalia 35B DRUG EQ,1300 7TH AVE,FORT WORTH,TX,B14,Central,9,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.73062069200638, -97.34206337165458)"
190073793-90E,190073793,08/26/2019,PUBLIC INTOXICATION,08/26/2019 05:23:00 AM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,1000 W MORPHY ST,FORT WORTH,TX,B14,Central,9,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.729424868427444, -97.33613670947659)"
190073778-90E,190073778,08/26/2019,PUBLIC INTOXICATION,08/26/2019 02:33:00 AM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,7800 CAMP BOWIE WEST BLVD,FORT WORTH,TX,L14,West,3,C,18,18 PARKING LOT/GARAGE,"(32.72278075863172, -97.44952422749219)"
190073644-90E,190073644,08/25/2019,PUBLIC INTOXICATION,08/25/2019 01:26:00 PM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,4400 SOUTH FWY SR NB,FORT WORTH,TX,I15,,,C,14,14 HOTEL/MOTEL/ETC.,"(32.68246603650244, -97.3200781214201)"
190073545-90E,190073545,08/25/2019,PUBLIC INTOXICATION,08/24/2019 11:50:59 PM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,2700 W 7TH ST,FORT WORTH,TX,K12,,,C,3,03 BAR/NIGHT CLUB,"(32.751150344342044, -97.3547644146571)"
190073541-90E,190073541,08/25/2019,PUBLIC INTOXICATION,08/25/2019 02:54:51 AM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,2900 BLEDSOE ST,FORT WORTH,TX,K12,,,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.74836278879819, -97.35846873362948)"
190073536-90E,190073536,08/25/2019,PUBLIC INTOXICATION,08/25/2019 02:33:00 AM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,4200 JACKSBORO HWY NB,FORT WORTH,TX,D12,,,C,18,18 PARKING LOT/GARAGE,"(32.792630902587135, -97.39169783936987)"
190073534-90E,190073534,08/25/2019,PUBLIC INTOXICATION,08/25/2019 02:33:52 AM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,3000 BLEDSOE ST,FORT WORTH,TX,K12,,,C,3,03 BAR/NIGHT CLUB,"(32.74838751946538, -97.36040657506226)"
190073533-90E,190073533,08/25/2019,PUBLIC INTOXICATION,08/25/2019 02:26:45 AM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,100 W EXCHANGE AVE,FORT WORTH,TX,C13,,2,C,3,03 BAR/NIGHT CLUB,"(32.78895274189848, -97.34942492430953)"
190073524-90E,190073524,08/25/2019,PUBLIC INTOXICATION,08/25/2019 01:21:36 AM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,2400 S CAMPUS CT,FORT WORTH,TX,I17,,8,C,3,03 BAR/NIGHT CLUB,"(32.66356124632745, -97.2988720438356)"
190073513-90E,190073513,08/25/2019,PUBLIC INTOXICATION,08/25/2019 12:40:44 AM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,3900 OVERTON PARK DR E,FORT WORTH,TX,K17,,,C,20,20 RESIDENCE/HOME,"(32.69142732147265, -97.38156539832755)"
190073512-90E,190073512,08/25/2019,PUBLIC INTOXICATION,08/25/2019 01:14:00 AM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,500 TAYLOR ST,FORT WORTH,TX,A15,,9,C,3,03 BAR/NIGHT CLUB,"(32.753407198265144, -97.33344825427031)"
190073432-90E,190073432,08/24/2019,PUBLIC INTOXICATION,08/24/2019 07:34:00 PM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,6700 BRIDGE ST,FORT WORTH,TX,H11,East,4,C,18,18 PARKING LOT/GARAGE,"(32.76603813154979, -97.21640255707928)"
190073321-90Z,190073321,08/24/2019,PUBLIC INTOXICATION,08/24/2019 10:00:00 AM,90Z,Misc CIty Ord Misc City Ordinances 90Z ALL OTHER O,3100 SOUTH FWY SR NB,FORT WORTH,TX,I12,South,8,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.70581621075106, -97.32022021401524)"
190073321-90E,190073321,08/24/2019,PUBLIC INTOXICATION,08/24/2019 10:00:00 AM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,3100 SOUTH FWY SR NB,FORT WORTH,TX,I12,South,8,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.70581621075106, -97.32022021401524)"
190073267-90E,190073267,08/24/2019,PUBLIC INTOXICATION,08/24/2019 03:04:00 AM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,5000 WHITE SETTLEMENT RD,FORT WORTH,TX,K13,,,C,18,18 PARKING LOT/GARAGE,"(32.75998091933977, -97.3963396594076)"
190073263-90E,190073263,08/24/2019,PUBLIC INTOXICATION,08/23/2019 11:29:53 PM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,3000 BLEDSOE ST,FORT WORTH,TX,K12,West,9,C,21,21 RESTAURANT,"(32.748276217174485, -97.36028189615641)"
200004897-90E,200004897,01/17/2020,PUBLIC INTOXICATION,01/17/2020 05:13:56 PM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,5100 GRANBURY RD,FORT WORTH,TX,J14,,,C,23,23 SERVICE/GAS STATION,"(32.673227375472656, -97.38271028807507)"
200004821-90E,200004821,01/17/2020,PUBLIC INTOXICATION,01/17/2020 12:01:58 PM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,2800 YEAGER ST,FORT WORTH,TX,G13,East,5,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.73956274369435, -97.23342285851078)"
200004408-90E,200004408,01/16/2020,PUBLIC INTOXICATION,01/16/2020 03:27:33 AM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,2700 W 7TH ST,FORT WORTH,TX,K12,,,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.75115412476408, -97.35511757533607)"
200004340-90E,200004340,01/15/2020,PUBLIC INTOXICATION,01/15/2020 08:49:19 PM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,5600 CAMPUS DR,FORT WORTH,TX,I17,South,8,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.663487450148, -97.2956839569495)"
200004322-90E,200004322,01/15/2020,PUBLIC INTOXICATION,01/15/2020 06:36:16 PM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,2800 SOUTH FWY SR NB,FORT WORTH,TX,B17,Central,8,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.71123993216196, -97.32019261590317)"
200004312-90E,200004312,01/15/2020,PUBLIC INTOXICATION,01/15/2020 07:20:00 PM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,1100 8TH AVE,FORT WORTH,TX,K11,,,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.732234438695954, -97.34384087086521)"
200004153-90E,200004153,01/15/2020,PUBLIC INTOXICATION,01/15/2020 11:49:56 AM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,2300 N SYLVANIA AVE,FORT WORTH,TX,A12,Central,9,C,4,04 CHURCH/SYNAGOGUE/TEMPLE,"(32.79395208337951, -97.30862697594856)"
200004046-90E,200004046,01/15/2020,PUBLIC INTOXICATION,01/15/2020 02:00:39 AM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,2300 ROSEN AVE,FORT WORTH,TX,C13,Northwest,2,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.786430760226125, -97.37072068400799)"
200003808-90E,200003808,01/14/2020,PUBLIC INTOXICATION,01/14/2020 10:52:36 AM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,800 W WEATHERFORD ST,FORT WORTH,TX,A16,,,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.75460340591663, -97.33827399149209)"
200003717-90E,200003717,01/14/2020,PUBLIC INTOXICATION,01/14/2020 05:02:16 AM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,7000 BOAT CLUB RD,FORT WORTH,TX,D15,,,C,7,07 CONVENIENCE STORE,"(32.863035069741, -97.42622206511945)"
200003342-90E,200003342,01/13/2020,PUBLIC INTOXICATION,01/13/2020 02:18:06 AM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,2900 MORTON ST,FORT WORTH,TX,K12,,,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.74929856052946, -97.35845699293984)"
200003342-90C,200003342,01/13/2020,PUBLIC INTOXICATION,01/13/2020 02:18:06 AM,90C,GC 081 Disorderly Conduct 90C DISORDERLY CONDUCT 0,2900 MORTON ST,FORT WORTH,TX,K12,,,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.74929856052946, -97.35845699293984)"
200003336-90E,200003336,01/13/2020,PUBLIC INTOXICATION,01/13/2020 01:17:09 AM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,900 FOCH ST,FORT WORTH,TX,K12,West,9,C,3,03 BAR/NIGHT CLUB,"(32.7497210212389, -97.35650738856046)"
200003137-90E,200003137,01/12/2020,PUBLIC INTOXICATION,01/12/2020 02:34:22 AM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,1000 NORWOOD ST,FORT WORTH,TX,K12,,,C,18,18 PARKING LOT/GARAGE,"(32.7491983474355, -97.36015911384956)"
200003117-90E,200003117,01/12/2020,PUBLIC INTOXICATION,01/12/2020 12:49:06 AM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,900 FOCH ST,FORT WORTH,TX,K12,,,C,3,03 BAR/NIGHT CLUB,"(32.7497210212389, -97.35650738856046)"
200002902-90E,200002902,01/11/2020,PUBLIC INTOXICATION,01/11/2020 02:28:00 AM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,3300 WESTERN CENTER BLVD,FORT WORTH,TX,E11,,,C,7,07 CONVENIENCE STORE,"(32.860696927611315, -97.31062268189822)"
200002600-90E,200002600,01/10/2020,PUBLIC INTOXICATION,01/10/2020 06:24:33 AM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,5000 TRAIL LAKE DR,FORT WORTH,TX,J15,,,C,23,23 SERVICE/GAS STATION,"(32.67230700147412, -97.37539031839076)"
200002456-WAR,200002456,01/09/2020,PUBLIC INTOXICATION,01/09/2020 03:41:13 PM,WAR,LOCAL Local Class C Warrants WAR Warrants only 000,3500 HEMPHILL ST,FORT WORTH,TX,J11,South,9,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.698640198452516, -97.33173532930883)"
200002456-90E,200002456,01/09/2020,PUBLIC INTOXICATION,01/09/2020 03:41:13 PM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,3500 HEMPHILL ST,FORT WORTH,TX,J11,South,9,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.698640198452516, -97.33173532930883)"
200002239-90E,200002239,01/08/2020,PUBLIC INTOXICATION,01/08/2020 08:25:42 PM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,3300 LACKLAND RD,FORT WORTH,TX,L12,,,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.722580625689126, -97.43448531847773)"
200001956-90E,200001956,01/08/2020,PUBLIC INTOXICATION,01/08/2020 02:33:21 AM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,4800 WELLESLEY AVE,FORT WORTH,TX,K14,West,9,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.72538929290444, -97.39153778349456)"
200001820-90E,200001820,01/07/2020,PUBLIC INTOXICATION,01/07/2020 03:46:34 PM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,2800 NORTHWEST LOOP 820 FWY,FORT WORTH,TX,D14,Northwest,2,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.82401500249928, -97.39124572810154)"
200001369-90E,200001369,01/06/2020,PUBLIC INTOXICATION,01/06/2020 09:09:04 AM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,2400 KENTUCKY AVE,FORT WORTH,TX,B12,Central,8,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.74503731920948, -97.31792453106239)"
200001141-90E,200001141,01/05/2020,PUBLIC INTOXICATION,01/05/2020 09:11:09 AM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,8600 ANDERSON BLVD,FORT WORTH,TX,H12,,,C,21,21 RESTAURANT,"(32.76252895802375, -97.16796493219327)"
200001091-90E,200001091,01/05/2020,PUBLIC INTOXICATION,01/05/2020 01:55:44 AM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,900 FOCH ST,FORT WORTH,TX,K12,,,C,3,03 BAR/NIGHT CLUB,"(32.7497210212389, -97.35650738856046)"
200001083-90E,200001083,01/05/2020,PUBLIC INTOXICATION,01/05/2020 12:54:02 AM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,200 LIPSCOMB ST,FORT WORTH,TX,B11,,,C,3,03 BAR/NIGHT CLUB,"(32.74272562525504, -97.33317956672668)"
200000848-90E,200000848,01/04/2020,PUBLIC INTOXICATION,01/04/2020 01:21:01 AM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,2800 BLEDSOE ST,FORT WORTH,TX,K12,West,9,C,3,03 BAR/NIGHT CLUB,"(32.74833915495577, -97.35664503630622)"
200000841-WAR,200000841,01/04/2020,PUBLIC INTOXICATION,01/04/2020 12:19:58 AM,WAR,OT WARRANT Out of Town Warrant WAR Warrants only 0,2500 JACKSBORO HWY NB,FORT WORTH,TX,D11,,,C,3,03 BAR/NIGHT CLUB,"(32.78798423402955, -97.38608176185973)"
200000841-90E,200000841,01/04/2020,PUBLIC INTOXICATION,01/04/2020 12:19:58 AM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,2500 JACKSBORO HWY NB,FORT WORTH,TX,D11,,,C,3,03 BAR/NIGHT CLUB,"(32.78798423402955, -97.38608176185973)"
200000839-90E,200000839,01/04/2020,PUBLIC INTOXICATION,01/04/2020 12:05:47 AM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,2500 RODEO PLZ,FORT WORTH,TX,C11,,,C,3,03 BAR/NIGHT CLUB,"(32.79019943941121, -97.34820982562468)"
200000806-90E,200000806,01/03/2020,PUBLIC INTOXICATION,01/03/2020 09:56:07 PM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,4300 WESTERN CENTER BLVD,FORT WORTH,TX,E11,North,4,C,18,18 PARKING LOT/GARAGE,"(32.86093782505755, -97.29285877729065)"
200000555-90G,200000555,01/03/2020,PUBLIC INTOXICATION,01/03/2020 02:20:27 AM,90G,GC 133 Misrepresentation of Age - Minor 90G LIQUOR,1000 NORWOOD ST,FORT WORTH,TX,K12,,,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.7491983474355, -97.36015911384956)"
190073253-90E,190073253,08/24/2019,PUBLIC INTOXICATION,08/24/2019 02:17:00 AM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,1000 NORWOOD ST,FORT WORTH,TX,K12,West,9,C,3,03 BAR/NIGHT CLUB,"(32.749198347435495, -97.36015911384956)"
190072916-90E,190072916,08/23/2019,PUBLIC INTOXICATION,08/23/2019 12:40:50 AM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,4300 E BERRY ST,FORT WORTH,TX,G16,,,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.713560496771215, -97.26007785260732)"
190072916-35B,190072916,08/23/2019,PUBLIC INTOXICATION,08/23/2019 12:40:50 AM,35B,GC 084 Possession of Drug Paraphenalia 35B DRUG EQ,4300 E BERRY ST,FORT WORTH,TX,G16,,,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.713560496771215, -97.26007785260732)"
190072526-90E,190072526,08/21/2019,PUBLIC INTOXICATION,08/21/2019 09:19:12 PM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,4400 SOUTH FWY SR NB,FORT WORTH,TX,I15,,,C,18,18 PARKING LOT/GARAGE,"(32.68260868439369, -97.3200940332845)"
190072244-90Z,190072244,08/21/2019,PUBLIC INTOXICATION,08/21/2019 12:03:35 AM,90Z,PC 38.03(A) Resisting Arr/Search/Transport 90Z ALL,1200 BARREL RUN,FORT WORTH,TX,F15,North,7,C,20,20 RESIDENCE/HOME,"(32.98904519902049, -97.38727719966114)"
190072244-90E,190072244,08/21/2019,PUBLIC INTOXICATION,08/21/2019 12:03:35 AM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,1200 BARREL RUN,FORT WORTH,TX,F15,North,7,C,20,20 RESIDENCE/HOME,"(32.98904519902049, -97.38727719966114)"
190072187-90Z,190072187,08/20/2019,PUBLIC INTOXICATION,08/20/2019 07:49:00 PM,90Z,LOCAL Local Class C Warrants 90Z ALL OTHER OFFENSE,8900 MEADOWBROOK BLVD,FORT WORTH,TX,H15,East,5,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.75759177506335, -97.1596763131233)"
190072187-90E,190072187,08/20/2019,PUBLIC INTOXICATION,08/20/2019 07:49:00 PM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,8900 MEADOWBROOK BLVD,FORT WORTH,TX,H15,East,5,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.75759177506335, -97.1596763131233)"
190072187-13B,190072187,08/20/2019,PUBLIC INTOXICATION,08/20/2019 07:49:00 PM,13B,GC 088 Assault by Offensive Contact or Threat 13B,8900 MEADOWBROOK BLVD,FORT WORTH,TX,H15,East,5,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.75759177506335, -97.1596763131233)"
190072160-90E,190072160,08/20/2019,PUBLIC INTOXICATION,08/20/2019 06:15:10 PM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,1500 NW 24TH ST,FORT WORTH,TX,C13,Northwest,2,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.78821389906588, -97.36611267343501)"
190072160-35B,190072160,08/20/2019,PUBLIC INTOXICATION,08/20/2019 06:15:10 PM,35B,GC 084 Possession of Drug Paraphenalia 35B DRUG EQ,1500 NW 24TH ST,FORT WORTH,TX,C13,Northwest,2,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.78821389906588, -97.36611267343501)"
190072021-90E,190072021,08/20/2019,PUBLIC INTOXICATION,08/20/2019 10:11:50 AM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,6700 CALMONT AVE,FORT WORTH,TX,L12,,,C,20,20 RESIDENCE/HOME,"(32.734158402961704, -97.43187073629461)"
190071798-90Z,190071798,08/19/2019,PUBLIC INTOXICATION,08/19/2019 04:44:51 PM,90Z,LOCAL Local Class C Warrants 90Z ALL OTHER OFFENSE,1100 NW 25TH ST,FORT WORTH,TX,C13,,,C,18,18 PARKING LOT/GARAGE,"(32.7900147325792, -97.36140648056514)"
190071798-90E,190071798,08/19/2019,PUBLIC INTOXICATION,08/19/2019 04:44:51 PM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,1100 NW 25TH ST,FORT WORTH,TX,C13,,,C,18,18 PARKING LOT/GARAGE,"(32.7900147325792, -97.36140648056514)"
190071750-90E,190071750,08/19/2019,PUBLIC INTOXICATION,08/19/2019 03:08:06 PM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,800 W BELKNAP ST,FORT WORTH,TX,A16,,9,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.75526093886708, -97.33874123281709)"
190071543-90E,190071543,08/18/2019,PUBLIC INTOXICATION,08/18/2019 10:51:01 PM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,6600 FOSSIL BLUFF DR,FORT WORTH,TX,E12,North,4,C,3,03 BAR/NIGHT CLUB,"(32.86244088982627, -97.3113078327757)"
190071528-90E,190071528,08/18/2019,PUBLIC INTOXICATION,08/18/2019 10:32:00 PM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,2900 OSCAR AVE,FORT WORTH,TX,C12,,,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.796655015057105, -97.33128231672677)"
190071517-90E,190071517,08/19/2019,PUBLIC INTOXICATION,08/18/2019 09:10:39 PM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,2500 BIRDELL CT,FORT WORTH,TX,G17,,,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.72022342608581, -97.24053512299352)"
190071421-90E,190071421,08/18/2019,PUBLIC INTOXICATION,08/18/2019 02:49:00 PM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,6000 CALMONT AVE,FORT WORTH,TX,K13,,,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.73415129215694, -97.41345392938605)"
190060565-90E,190060565,07/14/2019,PUBLIC INTOXICATION,07/14/2019 10:48:56 PM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,900 ALTA DR,FORT WORTH,TX,K13,,,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.751227967070236, -97.38225313098731)"
190060375-90E,190060375,07/14/2019,PUBLIC INTOXICATION,07/14/2019 07:58:13 AM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,4300 SOUTH FWY SR NB,FORT WORTH,TX,I12,South,9,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.68529163989709, -97.32020687661668)"
190060347-90E,190060347,07/14/2019,PUBLIC INTOXICATION,07/14/2019 03:26:14 AM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,5700 COLETO CREEK CIR,FORT WORTH,TX,D14,,,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.84186444483039, -97.40780061276953)"
190060344-90E,190060344,07/14/2019,PUBLIC INTOXICATION,07/14/2019 02:39:00 AM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,3600 S JONES ST,FORT WORTH,TX,I11,,,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.69689976872622, -97.32307988334114)"
190060343-90E,190060343,07/14/2019,PUBLIC INTOXICATION,07/14/2019 03:06:00 AM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,1000 JONES ST,FORT WORTH,TX,A15,,,C,1,01 AIR/BUS/TRAIN TERMINAL,"(32.75249311979229, -97.32669496344886)"
190060310-90E,190060310,07/14/2019,PUBLIC INTOXICATION,07/14/2019 12:05:00 AM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,3800 EAST LOOP 820 SOUTH FWY SB,FORT WORTH,TX,G17,,,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.70804607426348, -97.23170135727909)"
190060273-90Z,190060273,07/13/2019,PUBLIC INTOXICATION,07/13/2019 08:15:29 PM,90Z,OT WARRANT Out of Town Warrant 90Z ALL OTHER OFFEN,300 W 4TH ST,FORT WORTH,TX,A15,,,C,25,25 OTHER/UNKNOWN,"(32.75379223892226, -97.33283251142514)"
190060273-90E,190060273,07/13/2019,PUBLIC INTOXICATION,07/13/2019 08:15:29 PM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,300 W 4TH ST,FORT WORTH,TX,A15,,,C,25,25 OTHER/UNKNOWN,"(32.75379223892226, -97.33283251142514)"
190060273-35B,190060273,07/13/2019,PUBLIC INTOXICATION,07/13/2019 08:15:29 PM,35B,GC 084 Possession of Drug Paraphenalia 35B DRUG EQ,300 W 4TH ST,FORT WORTH,TX,A15,,,C,25,25 OTHER/UNKNOWN,"(32.75379223892226, -97.33283251142514)"
190060263-90E,190060263,07/13/2019,PUBLIC INTOXICATION,07/13/2019 07:35:00 PM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,5900 SHADYDELL DR,FORT WORTH,TX,D14,,,C,25,25 OTHER/UNKNOWN,"(32.82190702371018, -97.41789798128626)"
190060088-90E,190060088,07/13/2019,PUBLIC INTOXICATION,07/13/2019 01:08:12 AM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,1000 W HAMMOND ST,FORT WORTH,TX,J13,South,9,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.680731424049874, -97.3351572008061)"
190060087-90E,190060087,07/13/2019,PUBLIC INTOXICATION,07/13/2019 01:56:00 AM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,2900 MORTON ST,FORT WORTH,TX,K12,West,9,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.749192352376205, -97.3588078603742)"
190060086-90E,190060086,07/13/2019,PUBLIC INTOXICATION,07/13/2019 01:49:05 AM,90E,GC 134 Public Intoxication - Minor 90E DRUNKENNESS,1000 NORWOOD ST,FORT WORTH,TX,K12,,,C,3,03 BAR/NIGHT CLUB,"(32.749198347435495, -97.36015911384956)"
190060086-90C,190060086,07/13/2019,PUBLIC INTOXICATION,07/13/2019 01:49:05 AM,90C,GC 081 Disorderly Conduct 90C DISORDERLY CONDUCT 0,1000 NORWOOD ST,FORT WORTH,TX,K12,,,C,2,02 BANK/SAVINGS AND LOAN,"(32.749198347435495, -97.36015911384956)"
190060085-90E,190060085,07/13/2019,PUBLIC INTOXICATION,07/13/2019 12:40:14 AM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,5700 MEADOWBROOK DR,FORT WORTH,TX,G19,,,C,20,20 RESIDENCE/HOME,"(32.74602392096081, -97.23182330214041)"
190060074-90Z,190060074,07/12/2019,PUBLIC INTOXICATION,06/13/2019 11:50:00 PM,90Z,PC 38.03(A) Resisting Arr/Search/Transport 90Z ALL,2800 MORTON ST,FORT WORTH,TX,K12,West,9,C,3,03 BAR/NIGHT CLUB,"(32.74927504725717, -97.35663298239825)"
190060074-90E,190060074,07/12/2019,PUBLIC INTOXICATION,06/13/2019 11:50:00 PM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,2800 MORTON ST,FORT WORTH,TX,K12,West,9,C,3,03 BAR/NIGHT CLUB,"(32.74927504725717, -97.35663298239825)"
190060062-90E,190060062,07/12/2019,PUBLIC INTOXICATION,07/12/2019 10:38:00 PM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,5100 AVE G,FORT WORTH,TX,G15,,,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.730132560534784, -97.2460165080499)"
190060019-90E,190060019,07/12/2019,PUBLIC INTOXICATION,07/12/2019 08:03:00 PM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,2900 NW 20TH ST,FORT WORTH,TX,D12,,,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.7951951250697, -97.38676095481823)"
190059408-90E,190059408,07/10/2019,PUBLIC INTOXICATION,07/10/2019 10:49:25 PM,90E,GC 080 Public Intoxication 90E DRUNKENNESS 0000000,800 W BELKNAP ST,FORT WORTH,TX,A16,,,C,18,18 PARKING LOT/GARAGE,"(32.75511939582464, -97.33877248527452)"
